uniqueID	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	uniprotID	description	geneSymbol	txSize	cdsSize
YAL012W	chrI	+	130798	131983	130798	131983	1	130798,	131983,	P31373	Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine	CYS3	1185	1185
YAL069W	chrI	+	334	649	334	649	1	334,	649,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL069W	315	315
YAL068W-A	chrI	+	537	792	537	792	1	537,	792,	n/a	Dubious open reading frame unlikely to encode a protein  identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	YAL068W-A	255	255
YAL068C	chrI	-	1806	2169	1806	2169	1	1806,	2169,	P0CE93	Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions	PAU8	363	363
YAL067W-A	chrI	+	2479	2707	2479	2707	1	2479,	2707,	Q8TGK6	Putative protein of unknown function  identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	YAL067W-A	228	228
YAL067C	chrI	-	7234	9016	7234	9016	1	7234,	9016,	P39709	Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily  mutation confers resistance to ethionine sulfoxide	SEO1	1782	1782
YAL066W	chrI	+	10090	10399	10090	10399	1	10090,	10399,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL066W	309	309
YAL065C	chrI	-	11564	11951	11564	11951	1	11564,	11951,	O13511	Putative protein of unknown function  has homology to FLO1  possible pseudogene	YAL065C	387	387
YAL064W-B	chrI	+	12045	12426	12045	12426	1	12045,	12426,	O13512	Fungal-specific protein of unknown function	YAL064W-B	381	381
YAL064C-A	chrI	-	13362	13743	13362	13743	1	13362,	13743,	Q6B2U8	Putative protein of unknown function  null mutant is sensitive to expression of the top1-T722A allele  not an essential gene	YAL064C-A	381	381
YAL064W	chrI	+	21565	21850	21565	21850	1	21565,	21850,	P39711	Protein of unknown function  may interact with ribosomes, based on co-purification experiments	YAL064W	285	285
YAL063C-A	chrI	-	22394	22685	22394	22685	1	22394,	22685,	Q3E791	Putative protein of unknown function  identified by expression profiling and mass spectrometry	YAL063C-A	291	291
YAL063C	chrI	-	23999	27968	23999	27968	1	23999,	27968,	P39712	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation	FLO9	3969	3969
YAL062W	chrI	+	31566	32940	31566	32940	1	31566,	32940,	P39708	NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate  rate of alpha-ketoglutarate utilization differs from Gdh1p  expression regulated by nitrogen and carbon sources	GDH3	1374	1374
YAL061W	chrI	+	33447	34701	33447	34701	1	33447,	34701,	P39713	Putative medium-chain alcohol dehydrogenase with similarity to BDH1  transcription induced by constitutively active PDR1 and PDR3	BDH2	1254	1254
YAL060W	chrI	+	35154	36303	35154	36303	1	35154,	36303,	P39714	NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin  enhances use of 2,3-butanediol as an aerobic carbon source	BDH1	1149	1149
YAL059C-A	chrI	-	36495	36918	36495	36918	1	36495,	36918,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps verified gene ECM1/YAL059W	YAL059C-A	423	423
YAL059W	chrI	+	36508	37147	36508	37147	1	36508,	37147,	P39715	Pre-ribosomal factor involved in 60S ribosomal protein subunit export  associates with the pre-60S particle  shuttles between the nucleus and cytoplasm	ECM1	639	639
YAL058W	chrI	+	37463	38972	37463	38972	1	37463,	38972,	P27825	Calnexin  integral membrane ER chaperone involved in folding and quality control of glycoproteins  chaperone activity is inhibited by Mpd1p, with which Cne1p interacts  24% identical to mammalian calnexin  Ca+ binding not yet shown in yeast	CNE1	1509	1509
YAL056C-A	chrI	-	38695	39046	38695	39046	1	38695,	39046,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL056C-A	351	351
YAL056W	chrI	+	39258	41901	39258	41901	1	39258,	41901,	P39717	Multistep regulator of cAMP-PKA signaling  inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency  inhibits Ras activity through direct interactions with Ira1p/2p  regulated by G-alpha protein Gpa2p  homolog of Gpb1p	GPB2	2643	2643
YAL055W	chrI	+	42176	42719	42176	42719	1	42176,	42719,	P39718	Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation	PEX22	543	543
YAL054C	chrI	-	42880	45022	42880	45022	1	42880,	45022,	Q01574	Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation  expressed during growth on nonfermentable carbon sources and under aerobic conditions	ACS1	2142	2142
YAL053W	chrI	+	45898	48250	45898	48250	1	45898,	48250,	P39719	Putative FAD transporter  required for uptake of FAD into endoplasmic reticulum  involved in cell wall maintenance	FLC2	2352	2352
YAL051W	chrI	+	48563	51707	48563	51707	1	48563,	51707,	P39720	Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p  activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis	OAF1	3144	3144
YAL049C	chrI	-	51854	52595	51854	52595	1	51854,	52595,	P39721	Cytoplasmic protein involved in mitochondrial function or organization  null mutant displays reduced frequency of mitochondrial genome loss  potential Hsp82p interactor	AIM2	741	741
YAL048C	chrI	-	52800	54789	52800	54789	1	52800,	54789,	P39722	Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology  cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria  not required for pheromone-induced cell death	GEM1	1989	1989
YAL047W-A	chrI	+	54583	54913	54583	54913	1	54583,	54913,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL047W-A	330	330
YAL047C	chrI	-	54988	56857	54988	56857	1	54988,	56857,	P39723	Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules  has roles in astral microtubule formation and stabilization	SPC72	1869	1869
YAL046C	chrI	-	57028	57385	57028	57385	1	57028,	57385,	P39724	Protein involved in mitochondrial function or organization  null mutant displays elevated frequency of mitochondrial genome loss	AIM1	357	357
YAL045C	chrI	-	57487	57796	57487	57796	1	57487,	57796,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  almost completely overlaps YAL044W-A	YAL045C	309	309
YAL044W-A	chrI	+	57517	57850	57517	57850	1	57517,	57850,	Q3E793	Putative protein of unknown function  similar to S. pombe uvi31 which is a putative DNA repair protein	YAL044W-A	333	333
YAL044C	chrI	-	57949	58462	57949	58462	1	57949,	58462,	P39726	H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF  also required for all protein lipoylation  expression is regulated by levels of 5,10-methylene-THF	GCV3	513	513
YAL043C	chrI	-	58694	61052	58694	61052	1	58694,	61052,	Q01329	Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends  involved in pre-tRNA processing  binds to the phosphorylated CTD of RNAPII	PTA1	2358	2358
YAL042C-A	chrI	-	61230	61608	61230	61608	1	61230,	61608,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps verified ORF ERV46/YAL042W  YAL042C-A is a non-essential gene	YAL042C-A	378	378
YAL042W	chrI	+	61315	62563	61315	62563	1	61315,	62563,	P39727	Protein localized to COPII-coated vesicles, forms a complex with Erv41p  involved in the membrane fusion stage of transport	ERV46	1248	1248
YAL041W	chrI	+	62839	65404	62839	65404	1	62839,	65404,	P11433	Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p  required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing	CDC24	2565	2565
YAL040C	chrI	-	65777	67520	65777	67520	1	65777,	67520,	P13365	G1 cyclin involved in cell cycle progression  activates Cdc28p kinase to promote the G1 to S phase transition  plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2  regulated by phosphorylation and proteolysis	CLN3	1743	1743
